text,text_id,targets,spans,target_sentiments,categories,category_sentiments
I've never had bad service and the fish is fresh and delicious.,1410878:1,"['service', 'fish']","[[19, 26], [35, 39]]",,,
Their tuna tartar appetizer is to die for.,1410878:2,['tuna tartar appetizer'],"[[6, 27]]",,,
"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",1413697:0,['pizza'],"[[80, 85]]",,,
It is simply amazing.,1413697:1,[],[],,,
The place is so cool and the service is prompt and curtious.,1413697:2,"['place', 'service']","[[4, 9], [29, 36]]",,,
I highly recommend to anyone to give this place a try.,1413697:3,['place'],"[[42, 47]]",,,
You will find yourself returning quite often.,1413697:4,[],[],,,
P.S. Please don't tell anyone in my family i eat there.,1413697:5,,,,,
LOL,1413697:6,,,,,
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,1417496:0,"['food', 'service', 'atmosphere']","[[64, 68], [80, 87], [102, 112]]",,,
No gimmicks here -- the food speaks for itself in its freshness and preparation.,1417496:1,['food'],"[[24, 28]]",,,
The dining room is quietly elegant with no music to shout over -- how refreshing!,1417496:2,['dining room'],"[[4, 15]]",,,
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",1417496:3,"['service', 'staff']","[[4, 11], [50, 55]]",,,
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",1417496:4,"['meal', 'restaurant']","[[65, 69], [80, 90]]",,,
Beautiful experience.,1417496:5,[],[],,,
The view is breathtaking the service is top notch... the ambiance is wonderfull.,1430994:0,"['view', 'service', 'ambiance']","[[4, 8], [29, 36], [57, 65]]",,,
The staff offers impeccable service.,1430994:1,['staff'],"[[4, 9]]",,,
I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,1430994:2,['Lobster Bisque'],"[[6, 20]]",,,
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,1430994:3,"['New England Chowder', 'Lobster Bisque']","[[21, 40], [92, 106]]",,,
I had Filet Mignon with garlic mash.,1430994:4,,,,,
It was divine melts in your mouth.,1430994:5,[],[],,,
My boyfriend had Prime Rib it was good .,1430994:6,['Prime Rib'],"[[17, 26]]",,,
We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. ,1430994:7,['bottles of Korbett'],"[[69, 87]]",,,
We had Lava Cake... we ordered when our food came it takes at least a 1/2 to make it. ,1430994:8,,,,,
It's cuz it's so good you need to taste it!!! ,1430994:9,[],[],,,
All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,1430994:10,[],[],,,
My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,1431154:0,['food'],"[[91, 95]]",,,
If you like spicy food get the chicken vindaloo.,1431154:1,['chicken vindaloo'],"[[31, 47]]",,,
It's very spicy but not offensive.,1431154:2,[],[],,,
We will definitely go back.,1431154:3,[],[],,,
Go to Volare for 1st class service and terrific food.,1432551:0,"['service', 'food']","[[27, 34], [48, 52]]",,,
The portions are large and the servers always surprise us with a different starter.,1432551:1,"['portions', 'servers']","[[4, 12], [31, 38]]",,,
The wine list is excellent.,1432551:2,['wine list'],"[[4, 13]]",,,
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,1439875:0,"['food', ""Chef's tasting menu"", 'selection of wines']","[[4, 8], [49, 68], [131, 149]]",,,
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",1439875:1,"['place', 'service']","[[4, 9], [75, 82]]",,,
People dress in suits or evening gowns as well as shirts jeans.,1439875:2,,,,,
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,1439875:3,"['food', 'prixe fixe tasting menu']","[[4, 8], [32, 55]]",,,
"Recommendations, of course, are required!",1439875:4,,,,,
Please be aware that it's CASH or AMEX only!,1439875:5,[],[],,,
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",1448587:0,"['lemon salad', 'food']","[[26, 37], [104, 108]]",,,
The menu is very limited - i think we counted 4 or 5 entrees.,1448587:1,['menu'],"[[4, 8]]",,,
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",1448587:2,['grilled branzino'],"[[24, 40]]",,,
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1448587:3,['decor'],"[[4, 9]]",,,
Problem is nothing at Prune is particularly memorable.,1448587:4,['Prune'],"[[22, 27]]",,,
No plans to return anytime soon.,1448587:5,[],[],,,
This place is so much fun.,1451107:0,['place'],"[[5, 10]]",,,
Our family never expected such incredible entertainment in a restaurant.,1451107:1,['restaurant'],"[[61, 71]]",,,
This place must have cost the owners afortune to build.,1451107:2,,,,,
I think the stuff was better than Disney.,1451107:3,,,,,
Our food was great too!,1451107:4,['food'],"[[4, 8]]",,,
And really large portions.,1451107:5,['portions'],"[[17, 25]]",,,
The staff was the friendliest that have seen in New York.,1451107:6,['staff'],"[[4, 9]]",,,
We will go back every time we are in the City.,1451107:7,[],[],,,
If you want something really different than try Jekyll and Hyde.,1451109:0,['Jekyll and Hyde'],"[[48, 63]]",,,
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,1451109:1,[],[],,,
The food was pretty tradional but it was hot and good with large portions.,1451109:2,"['food', 'portions']","[[4, 8], [65, 73]]",,,
I highly recommend it.,1451109:3,[],[],,,
I am going to the mid town location next.,1451109:4,,,,,
The place is a lot of fun.,1457607:0,['place'],"[[4, 9]]",,,
My six year old loved it.,1457607:1,[],[],,,
The characters really make for an enjoyable experience.,1457607:2,['characters'],"[[4, 14]]",,,
"The food however, is what one might expect.",1457607:3,['food'],"[[4, 8]]",,,
It is very overpriced and not very tasty.,1457607:4,[],[],,,
"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",1457607:5,['Jeckll and Hydes'],"[[17, 33]]",,,
We had a good time.,1457607:6,[],[],,,
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,1459569:0,[],[],,,
Service was slow had to wait to order and get food although not crowded.,1459569:1,['Service'],"[[0, 7]]",,,
Drinks way over priced.,1459569:2,['Drinks'],"[[0, 6]]",,,
Food was good not great not worth the wait or another visit,1459569:3,['Food'],"[[0, 4]]",,,
Great pizza for lunch place.,1460715:0,['pizza'],"[[6, 11]]",,,
Service was quick.,1460715:1,['Service'],"[[0, 7]]",,,
The pizza was great.,1460715:2,['pizza'],"[[4, 9]]",,,
And it was quick which is very important.,1460715:3,[],[],,,
Have the iced tea.,1460715:4,['iced tea'],"[[9, 17]]",,,
It was wonderful.,1460715:5,[],[],,,
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",1470286:0,"['fish', 'service']","[[63, 67], [78, 85]]",,,
Delivery is fast too.,1470286:1,['Delivery'],"[[0, 8]]",,,
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",1470286:2,"['service', 'seating', 'Delivery', 'sushi']","[[15, 22], [29, 36], [43, 51], [63, 68]]",,,
A little overpriced but worth it once you take a bite.,1470286:3,[],[],,,
"Growing up in NY, I have eaten my share of bagels.",1470334:0,,,,,
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,1470334:1,['bagel'],"[[63, 68]]",,,
"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",1470334:2,['bagels'],"[[4, 10]]",,,
They have a huge selection of different cream cheeses and all of their salads are great.,1470334:3,"['cream cheeses', 'salads']","[[40, 53], [71, 77]]",,,
The lox is always fresh too.,1470334:4,['lox'],"[[4, 7]]",,,
Highly recommended to all!,1470334:5,[],[],,,
I have to agree with the previous reviewer.,1471273:0,,,,,
I don't get it either.,1471273:1,,,,,
Not impressed with the food.,1471273:2,['food'],"[[23, 27]]",,,
Prices too high for this cramped and unappealing resturant.,1471273:3,['resturant'],"[[49, 58]]",,,
Zero ambiance to boot.,1471273:4,['ambiance'],"[[5, 13]]",,,
I thought this place was totally overrated.,1476493:0,['place'],"[[15, 20]]",,,
Everything we had was good or ok....but definitely nothing great.,1476493:1,[],[],,,
"The ambience was nice, but service wasn't so great.",1476493:2,"['ambience', 'service']","[[4, 12], [27, 34]]",,,
"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",1476493:3,[],[],,,
This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,1477631:0,['Shabu-Shabu Restaurant'],"[[17, 39]]",,,
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,1477631:1,"['food', 'feel']","[[55, 59], [68, 72]]",,,
Thius is a must for anyone who loves Shabu-Shabu.,1477631:2,['Shabu-Shabu'],"[[37, 48]]",,,
"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",1486041:0,['atmosphere'],"[[4, 14]]",,,
The owner and staff are all Japanese as well and that adds to the entire ambiance.,1486041:1,"['owner', 'staff', 'ambiance']","[[4, 9], [14, 19], [73, 81]]",,,
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",1486041:2,['menu'],"[[27, 31]]",,,
I must give it Yon out of Yon stars!,1486041:3,[],[],,,
Taxan delicious!,1486041:4,['Taxan'],"[[0, 5]]",,,
Arigato Gozimas Yuka!,1486041:5,,,,,
"This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!",1490757:0,['restaurant'],"[[5, 15]]",,,
We weren't!,1490757:1,,,,,
The prices were CHEAP compared to the quality of service and food.,1490757:2,"['service', 'food']","[[49, 56], [61, 65]]",,,
"We liked it so much, that we will always make it a point to dine here when we visit New York.",1490757:3,[],[],,,
Went there for an office lunch.,1496205:0,,,,,
The location and ambience is Ok but the food is what makes up for it.,1496205:1,"['location', 'ambience', 'food']","[[4, 12], [17, 25], [40, 44]]",,,
There is a lot of variety even for people who eat vegetarian like me.,1496205:2,[],[],,,
Try green curry with vegetables.,1496205:3,['green curry with vegetables'],"[[4, 31]]",,,
"The quantity is also very good, you will come out satisfied.",1496205:4,[],[],,,
"The service is ok, some of the people didn't get what they asked for.",1496205:5,['service'],"[[4, 11]]",,,
I was there on sat. for my birthday and we had an excellent time.,1496707:0,[],[],,,
I had the best ravioli ever.,1496707:1,['ravioli'],"[[15, 22]]",,,
The wine the service was very good too.,1496707:2,"['wine', 'service']","[[4, 8], [13, 20]]",,,
Moderate prices.,1496707:3,[],[],,,
A little noise but I think that was because of our party!,1496707:4,[],[],,,
Molto bene!,1500453:0,,,,,
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,1500453:1,['trattoria'],"[[25, 34]]",,,
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",1500453:2,"['food', 'specials', 'regular menu-fare', 'dishes']","[[4, 8], [33, 41], [49, 66], [72, 78]]",,,
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",1500453:3,"['parmesean porcini souffle', 'lamb glazed with balsamic vinegar']","[[17, 42], [50, 83]]",,,
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",1500453:4,"['tables', 'candle-light', 'food', 'service']","[[13, 19], [49, 61], [63, 67], [80, 87]]",,,
A guaranteeed delight!,1500453:5,[],[],,,
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",1506491:0,"['food', 'wine']","[[99, 103], [108, 112]]",,,
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",1506491:1,"['marinara/arrabiatta sauce', 'mozzarella en Carozza']","[[19, 44], [50, 71]]",,,
Check out the secret back room.,1506491:2,['back room'],"[[21, 30]]",,,
Old school meets New world.,1506491:3,,,,,
I pray it stays open forever.,1506491:4,[],[],,,
Thank You Emilio.,1506491:5,['Emilio'],"[[10, 16]]",,,
Ciao Bella,1506491:6,,,,,
"I found the food, service and value exceptional everytime I have been there.",1538149:0,"['food', 'service']","[[12, 16], [18, 25]]",,,
The food was authentic.,1538149:1,['food'],"[[4, 8]]",,,
I felt as though I were eating in Paris.,1538149:2,[],[],,,
The service was excellent - friendly and attentive.,1538149:3,['service'],"[[4, 11]]",,,
The prices are wonderfully low.,1538149:4,[],[],,,
Very good wine choices.,1538149:5,['wine choices'],"[[10, 22]]",,,
I can't believe people complain about no cheese sticks?,1543345:0,,,,,
Who has room for Cheesesticks with the best pizza in NYC!,1543345:1,['pizza'],"[[44, 49]]",,,
Get the pepperoni - YUM - and a family style salad.,1543345:2,"['pepperoni', 'family style salad']","[[8, 17], [32, 50]]",,,
Great staff.,1543345:3,['staff'],"[[6, 11]]",,,
Always great service!,1543345:4,['service'],"[[13, 20]]",,,
I go twice a month!,1543345:5,[],[],,,
Fantastic!,1543345:6,[],[],,,
"The food is good, I can't lie.",1561259:0,['food'],"[[4, 8]]",,,
But the staff was so horrible to us.,1561259:1,['staff'],"[[8, 13]]",,,
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,1561259:2,"['hostess', 'waitress']","[[4, 11], [20, 28]]",,,
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,1561259:3,['waitress'],"[[40, 48]]",,,
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",1561259:4,"['place', 'food', 'service']","[[5, 10], [35, 39], [61, 68]]",,,
Save yourself the time and trouble and skip this one!,1561259:5,[],[],,,
I'll keep this short.,1572027:0,,,,,
Amma is nothing special.,1572027:1,['Amma'],"[[0, 4]]",,,
The two star chefs left quite some time ago to open their own place.,1572027:2,,,,,
I ate here a week ago and found most dishes average at best and too expensive.,1572027:3,['dishes'],"[[37, 43]]",,,
Will not be back.,1572027:4,[],[],,,
"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",1572033:0,"['vegetarian dishes', 'non-veg selections']","[[31, 48], [89, 107]]",,,
Decor is nice though service can be spotty.,1572033:1,"['Decor', 'service']","[[0, 5], [21, 28]]",,,
This place is always packed.,1572033:2,['place'],"[[5, 10]]",,,
I know because I live nearby.,1572033:3,,,,,
"Most importantly, food is excellent.",1572033:4,['food'],"[[18, 22]]",,,
Try the sea bass.,1572033:5,['sea bass'],"[[8, 16]]",,,
Highly recommended.,1572033:6,[],[],,,
First of all Dal Bukhara Rocks.,1573534:0,['Dal Bukhara'],"[[13, 24]]",,,
As a student in NYU i need a place to eat after a hard day of work so usually i just go to any indian restraunt near by. ,1573534:1,,,,,
but ive heard a lot about this for the past 2 yrs and finally decided to eat here.,1573534:2,,,,,
I am happy i did the food was awsome.,1573534:3,['food'],"[[21, 25]]",,,
JUST AWSOME.,1573534:4,[],[],,,
and yes Dal Bukhara is so dam good and so are all the kababs.,1573534:5,"['Dal Bukhara', 'kababs']","[[8, 19], [54, 60]]",,,
They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey.,1573534:6,,,,,
but overall i give it a 10,1573534:7,[],[],,,
10,1573534:8,[],[],,,
I haven't been to the other locations.,1577714:0,,,,,
Haru on Park S is simply disgusting.,1577714:1,['Haru on Park S'],"[[0, 14]]",,,
The fish was not fresh and the rice tasted old and stale.,1577714:2,"['fish', 'rice']","[[4, 8], [31, 35]]",,,
"Quite frankly, this is some of the worst sushi I have ever tried.",1577714:3,['sushi'],"[[41, 46]]",,,
Will never be back.,1577714:4,[],[],,,
honestly the worst sushi my husband and i had in our entire lives.,1586174:0,['sushi'],"[[19, 24]]",,,
"believe us, we've been eating sushi for over 15 yrs.",1586174:1,,,,,
not sure why this restaurant would be rated that highly.,1586174:2,['restaurant'],"[[18, 28]]",,,
the all-u-can-eat sushi is definitely in very poor quality.,1586174:3,['all-u-can-eat sushi'],"[[4, 23]]",,,
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",1586174:4,"['menu', 'ingredients', 'fish', 'rice']","[[8, 12], [26, 37], [53, 57], [70, 74]]",,,
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",1586174:5,"['soy sauce', 'rice']","[[56, 65], [108, 112]]",,,
the waitstaffs are nice though.,1586174:6,['waitstaffs'],"[[4, 14]]",,,
wont come back again for sure!,1586174:7,[],[],,,
I have been to Roth's twice and both times were very disappointing.,1603698:0,"[""Roth's""]","[[15, 21]]",,,
Once for dinner and once for brunch.,1603698:1,,,,,
"Both times I was extremely dissappointed by the service, which was boarderline rude.",1603698:2,['service'],"[[48, 55]]",,,
They wouldnt even let me finish my glass of wine before offering another.,1603698:3,[],[],,,
Much of the time it seems like they do not care about you.,1603698:4,[],[],,,
"The dinner was ok, nothing I would have again.",1603698:5,['dinner'],"[[4, 10]]",,,
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",1603698:6,['eggs benedict'],"[[12, 25]]",,,
This was a great surprise.,1606837:0,[],[],,,
With the theater 2 blocks away we had a delicious meal in a beautiful room.,1606837:1,"['meal', 'room']","[[50, 54], [70, 74]]",,,
The service was attentive.,1606837:2,['service'],"[[4, 11]]",,,
I look forward to eating here again,1606837:3,[],[],,,
Planet Thai is great!,1609375:0,['Planet Thai'],"[[0, 11]]",,,
"We love the food, drinks, and atmosphere!",1609375:1,"['food', 'drinks', 'atmosphere']","[[12, 16], [18, 24], [30, 40]]",,,
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",1609375:2,"['svc', 'restaurant']","[[4, 7], [79, 89]]",,,
"Try the Pad Thai, it's fabulous and their prices are so cheap!",1609375:3,['Pad Thai'],"[[8, 16]]",,,
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",1609375:4,"['portions', 'food']","[[42, 50], [68, 72]]",,,
"Just remember, the later you go, the longer you may have to wait.",1609375:5,,,,,
It's popular w/the late crowd.,1609375:6,,,,,
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",1611489:0,[],[],,,
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",1611489:1,['sandwiches'],"[[10, 20]]",,,
"Overall, not worth the money.",1611489:2,[],[],,,
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",1611489:3,['atmosphere'],"[[15, 25]]",,,
I love Indian food and consider myself to be quite an expert on it.,1615322:0,,,,,
Chennai Garden is my favorite Indian restaurant in the city.,1615322:1,['Chennai Garden'],"[[0, 14]]",,,
They have authentic Indian at amazin prices.,1615322:2,['Indian'],"[[20, 26]]",,,
This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,1615322:3,['dishes'],"[[49, 55]]",,,
The seats are uncomfortable if you are sitting against the wall on wooden benches.,1615322:4,['seats'],"[[4, 9]]",,,
It's a rather cramped and busy restaurant and it closes early.,1615322:5,['restaurant'],"[[31, 41]]",,,
Patroon features a nice cigar bar and has great staff.,1623276:0,"['cigar bar', 'staff']","[[24, 33], [48, 53]]",,,
The food is tasty and portion sizes are appropriate.,1623276:1,"['food', 'portion sizes']","[[4, 8], [22, 35]]",,,
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,1623276:2,['restaurant'],"[[15, 25]]",,,
Not a great place for family or general dining.,1623276:3,['place'],"[[12, 17]]",,,
LLOOVVE THIS PLACE.,1626564:0,['PLACE'],"[[13, 18]]",,,
Food is excellent.,1626564:1,['Food'],"[[0, 4]]",,,
Fish is so very fresh.,1626564:2,['Fish'],"[[0, 4]]",,,
Waitstaff are very friendly.,1626564:3,['Waitstaff'],"[[0, 9]]",,,
Love YUKA.,1626564:4,['YUKA'],"[[5, 9]]",,,
Mermaid Inn is an overall good restaurant with really good seafood.,1632445:0,"['Mermaid Inn', 'seafood']","[[0, 11], [59, 66]]",,,
The menu is limited but almost all of the dishes are excellent.,1632445:1,"['menu', 'dishes']","[[4, 8], [42, 48]]",,,
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,1632445:2,"['lobster sandwich', 'spaghetti with Scallops and Shrimp']","[[4, 20], [37, 71]]",,,
The service is good and ambience is good for a date or group outing.,1632445:3,"['service', 'ambience']","[[4, 11], [24, 32]]",,,
The only fallback on this restaurant is the prices.,1632445:4,['restaurant'],"[[26, 36]]",,,
"Even though its good seafood, the prices are too high.",1632445:5,['seafood'],"[[21, 28]]",,,
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,1632445:6,['lobster sandwich'],"[[4, 20]]",,,
Went to Village last night for my birthday.,1632929:0,,,,,
"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",1632929:1,,,,,
We were very pleasantly surprised.,1632929:2,[],[],,,
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",1632929:3,"['food', 'halibut special', 'steak', 'service']","[[4, 8], [32, 47], [64, 69], [80, 87]]",,,
"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",1632929:4,['waiter'],"[[100, 106]]",,,
Truly the mark of an attentive waiter.,1632929:5,['waiter'],"[[31, 37]]",,,
I highly recommend the restaurant based on our experience last night.,1632929:6,['restaurant'],"[[23, 33]]",,,
We ate at this Thai place following the reviews but very unhappy with the foods.,1642666:0,['foods'],"[[74, 79]]",,,
We thought that this place is using too much of MSG cooking in the foods.,1642666:1,['foods'],"[[67, 72]]",,,
Why?,1642666:2,,,,,
"They don't concern much of customer's health, just want to make money.",1642666:3,[],[],,,
please don't fool us.,1642666:4,[],[],,,
I visit New Green Bo when I have money or when I am broke.,1649025:0,,,,,
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",1649025:1,"['jelly fish', 'drunken chicken', 'soupy dumplings', 'stir fry blue crab']","[[16, 26], [28, 43], [52, 67], [83, 101]]",,,
The food is so cheap and the waiters are nice.,1649025:2,"['food', 'waiters']","[[4, 8], [29, 36]]",,,
"Of course, it is crowded but who cares.",1649025:3,[],[],,,
Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,1649025:4,[],[],,,
Have frequented 'ino for several years and the food remains excellent.,1655504:0,['food'],"[[47, 51]]",,,
Cheese plate is a varied delight and great bargain at $10.,1655504:1,['Cheese plate'],"[[0, 12]]",,,
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",1655504:2,"['bruschettas', 'paninis', 'tramezzinis']","[[23, 34], [36, 43], [45, 56]]",,,
"(The asparagus, truffle oil, parmesan bruschetta is a winner!)",1655504:3,"['asparagus, truffle oil, parmesan bruschetta']","[[5, 48]]",,,
Wine list is extensive without being over-priced.,1655504:4,['Wine list'],"[[0, 9]]",,,
"Be sure to try the seasonal, and always delicious, specials.",1655504:5,['specials'],"[[51, 59]]",,,
Definitely a neighborhood favorite.,1655504:6,[],[],,,
I loved this place!!,1655521:0,['place'],"[[13, 18]]",,,
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,1655521:1,['atmosphere'],"[[50, 60]]",,,
"The food was very good, a great deal, and the place its self was great.",1655521:2,"['food', 'place']","[[4, 8], [46, 51]]",,,
"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",1655521:3,['wait staff'],"[[4, 14]]",,,
"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",1660047:0,"['Cafe Noir', 'people']","[[7, 16], [56, 62]]",,,
"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",1660047:1,['service'],"[[4, 11]]",,,
"The waitress, seems to be more concerned of looking good than actually waitressing.",1660047:2,['waitress'],"[[4, 12]]",,,
"After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.",1660047:3,['manager'],"[[17, 24]]",,,
"We did tip, I guess the model/waitress just wanted more and complained to the manager.",1660047:4,['waitress'],"[[30, 38]]",,,
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",1660047:5,"['Cafe Noir', 'staff']","[[52, 61], [82, 87]]",,,
Pizza here is consistently good.,1661043:0,['Pizza'],"[[0, 5]]",,,
Salads are a delicious way to begin the meal.,1661043:1,['Salads'],"[[0, 6]]",,,
You should pass on the calamari.,1661043:2,['calamari'],"[[23, 31]]",,,
It is thick and slightly soggy.,1661043:3,[],[],,,
Decor is charming.,1661043:4,['Decor'],"[[0, 5]]",,,
Service is average.,1661043:5,['Service'],"[[0, 7]]",,,
What a great place.,1661757:0,['place'],"[[13, 18]]",,,
I came into the city to try out this restaurant because a friend had recommended it to my husband.,1661757:1,,,,,
"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",1661757:2,"['ambience', 'food']","[[4, 12], [80, 84]]",,,
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",1661757:3,[],[],,,
I would definitely recommend SEA if you like thai cuisine!,1661757:4,['thai cuisine'],"[[45, 57]]",,,
I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,1662726:0,['customer service'],"[[49, 65]]",,,
"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",1662726:1,['gentleman'],"[[2, 11]]",,,
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently ",1662726:2,[],[],,,
"While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.",1662726:3,[],[],,,
"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.",1662726:4,,,,,
Never again!,1662726:5,[],[],,,
I absolutely Loved this place.,1663111:0,['place'],"[[24, 29]]",,,
"My friends spoke so much about it for months, I finally made the time to come down ear and dine in.",1663111:1,,,,,
"Excellent atmosphere, delicious dishes good and friendly service.",1663111:2,"['atmosphere', 'dishes', 'service']","[[10, 20], [32, 38], [57, 64]]",,,
this is can became on e of the NY Italian Food fare institutions.,1663111:3,[],[],,,
I think that it is absolutely brilliant and well runned business operation.,1663111:4,[],[],,,
The wine list is also really nice.,1663111:5,['wine list'],"[[4, 13]]",,,
A friend from Seattle and I went on a Thursday night around 8:30.,1664346:0,,,,,
"Everything was wonderful; food, drinks, staff, mileau.",1664346:1,"['food', 'drinks', 'staff', 'mileau']","[[26, 30], [32, 38], [40, 45], [47, 53]]",,,
I would highly recommend this place!,1664346:2,['place'],"[[30, 35]]",,,
I have been to Casimir over 5 times and I have always had a great time there.,1671113:0,['Casimir'],"[[15, 22]]",,,
The food is great and reasonably priced.,1671113:1,['food'],"[[4, 8]]",,,
"I have tried to make reservations, but both times, the hostess didn't have my name.",1671113:2,['hostess'],"[[55, 62]]",,,
"If the weather is nice, try to snag an outside table.",1671113:3,['outside table'],"[[39, 52]]",,,
"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",1671113:4,"['staff', 'unisex bathroom']","[[4, 9], [65, 80]]",,,
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,1700205:0,[],[],,,
"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",1700205:1,"['caviar', 'waitstaff']","[[21, 27], [46, 55]]",,,
"Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.",1700205:2,['waitstaff'],"[[82, 91]]",,,
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,1700205:3,"['caviar', 'service']","[[72, 78], [93, 100]]",,,
Nice Family owned traditional restaurant.,1702257:0,['restaurant'],"[[30, 40]]",,,
Fresh ingredients and everything is made to order.,1702257:1,['ingredients'],"[[6, 17]]",,,
I was pleasantly surprised to find this gem in Hoboken.,1702257:2,[],[],,,
Friendly staff that actually lets you enjoy your meal and the company you're with.,1702257:3,['staff'],"[[9, 14]]",,,
